brand,perfume,type,category,target_audience,longevity,longevity_clean,rating,description,mood,occasion
dumont,nitro red,edp,Fresh Scent,Male,Strong,Strong,4.0,nitro red by dumont is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Strong longevity.,"light, refreshing","office, casual"
dumont,nitro pour homme,edp,Fresh Scent,Male,Strong,Strong,4.0,nitro pour homme by dumont is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Strong longevity.,"light, refreshing","office, casual"
dumont,nitro white,edp,Fresh Scent,Unisex,Strong,Strong,4.0,nitro white by dumont is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Strong longevity.,"light, refreshing","office, casual"
dumont,nitro blue,edp,Fresh Scent,Unisex,Strong,Strong,4.0,nitro blue by dumont is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Strong longevity.,"light, refreshing","office, casual"
dumont,nitro green,edp,Fresh Scent,Unisex,Strong,Strong,4.0,nitro green by dumont is a edp perfume designed for Unisex. It belongs to the Fresh Scent category and has Strong longevity.,"light, refreshing","office, casual"
dumont,nitro platinum,edp,Mass Pleaser,Male,Strong,Strong,4.0,nitro platinum by dumont is a edp perfume designed for Male. It belongs to the Mass Pleaser category and has Strong longevity.,,
dumont,nitro intense,edp,Woody Spicy,Male,Strong,Strong,4.0,nitro intense by dumont is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
dumont,nitro black,edp,Woody Spicy,Male,Strong,Strong,4.0,nitro black by dumont is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
dumont,celerio oros,edp,Oriental Vanilla,Unisex,Medium,Medium,3.0,celerio oros by dumont is a edp perfume designed for Unisex. It belongs to the Oriental Vanilla category and has Medium longevity.,,
dumont,celerio epic,edp,Woody Aromatic,Male,Medium,Medium,3.0,celerio epic by dumont is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,club de nuit intense man,edt,Woody Spicy,Male,Strong,Strong,4.0,club de nuit intense man by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,cdnim pure parfum,parfum,Woody Spicy,Male,Strong,Strong,4.0,cdnim pure parfum by armaf is a parfum perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,cdnim edp,edp,Woody Spicy,Male,Strong,Strong,4.0,cdnim edp by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,cdnim limited edition,edp,Woody Spicy,Male,Strong,Strong,4.0,cdnim limited edition by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,cdn women,edp,Floral Fruity,Female,Medium,Medium,3.0,cdn women by armaf is a edp perfume designed for Female. It belongs to the Floral Fruity category and has Medium longevity.,"romantic, happy","daytime, casual"
armaf,lionheart man,edt,Woody Aromatic,Male,Medium,Medium,3.0,lionheart man by armaf is a edt perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,yum yum,edp,Fruity Floral,Female,Medium,Medium,3.0,yum yum by armaf is a edp perfume designed for Female. It belongs to the Fruity Floral category and has Medium longevity.,"sweet, cheerful","daytime, brunch"
armaf,sillage,edp,Woody Spicy,Male,Medium,Medium,3.0,sillage by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,imperial,edp,Woody Spicy,Male,Medium,Medium,3.0,imperial by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,untold,edp,Woody Aromatic,Male,Medium,Medium,3.0,untold by armaf is a edp perfume designed for Male. It belongs to the Woody Aromatic category and has Medium longevity.,"relaxing, grounded","casual, work"
armaf,hunter,edt,Woody Spicy,Male,Medium,Medium,3.0,hunter by armaf is a edt perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,hunter intense,edp,Woody Spicy,Male,Strong,Strong,4.0,hunter intense by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Strong longevity.,"strong, confident","evening, dinner"
armaf,ventana marine,edp,Fresh Scent,Male,Medium,Medium,3.0,ventana marine by armaf is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,ventana,edt,Fresh Scent,Male,Medium,Medium,3.0,ventana by armaf is a edt perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,urban man elixr,edp,Woody Spicy,Male,Medium,Medium,3.0,urban man elixr by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,milestone,edp,Woody Spicy,Male,Medium,Medium,3.0,milestone by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
armaf,aura fresh,edp,Fresh Scent,Male,Medium,Medium,3.0,aura fresh by armaf is a edp perfume designed for Male. It belongs to the Fresh Scent category and has Medium longevity.,"light, refreshing","office, casual"
armaf,precioux 1,edp,Woody Spicy,Male,Medium,Medium,3.0,precioux 1 by armaf is a edp perfume designed for Male. It belongs to the Woody Spicy category and has Medium longevity.,"strong, confident","evening, dinner"
